Audio file,Start,End,Text Full Verbatim
Hari Minggoean_001,0:00:02,0:00:16,"Yuk, selamat datang di Siniar... Siniar apa hayo? Karena aku sebenernya juga belum tau mau menyebut siniar ini dengan nama apa tapi aku lagi kepengen membuat siniar sekarang juga.","Yuk, selamat datang di Siniar... Siniar apa hayo? Karena aku sebenernya juga belum tau mau menyebut siniar ini dengan nama apa tapi aku lagi kepengen membuat siniar sekarang juga."
Hari Minggoean_001,0:00:16,0:00:20,"Sebenernya udah dipikirin, sih Ada beberapa calon-calon.",Sebenernya udah dipikirin sih Ada beberapa calon-calon.
Hari Minggoean_001,0:00:20,0:00:44,"Siniar ini bakal disebut apa, tapi belum mateng banget Tapi yaudahlah ya, yang penting kita bikin episode ini dulu, episode perdana ini. Di episode perdana ini atau di siniar ini kita bakalan Bukan kita sih sebenarnya, tapi lebih ke aku, aku bakal..","Siniar ini bakal disebut apa, tapi belum mateng banget Tapi yaudahlah ya, yang penting kita bikin episode ini dulu, episode perdana ini. Di episode perdana ini atau di siniar ini kita bakalan Bukan kita sih sebenarnya, tapi lebih ke aku, aku bakal.."
Hari Minggoean_001,0:00:44,0:00:53,Ngomongin apa yang terkasebutan ya pengalaman.,Ngomongin apa yang terkasebutan ya pengalaman.
Hari Minggoean_001,0:00:53,0:01:01,Mungkin aku bakal nyebutnya kesan-pesanku selama seminggu terakhir. Dan aku akan mencoba membagikan sedikit atau,Mungkin aku bakal nyebutnya kesan-pesanku selama seminggu terakhir. Dan aku akan mencoba membagikan sedikit atau
Hari Minggoean_001,0:01:01,0:01:13,"banyaknya kepada kalian semua. Oke, jadi sebenarnya aku udah nulis beberapa..","banyaknya kepada kalian semua. Oke, jadi sebenarnya aku udah nulis beberapa.."
Hari Minggoean_001,0:01:13,0:01:26,Nulis semacam outlinenya yang harusnya itu aku take di hari minggu kemarin karena ini akan jadi konsepnya kayak jadi kayak weekly vlog atau weekly radio atau.. aku gak,Nulis semacam outlinenya yang harusnya itu aku take di hari minggu kemarin karena ini akan jadi konsepnya kayak jadi kayak weekly vlog atau weekly radio atau.. aku gak
Hari Minggoean_001,0:01:26,0:01:29,tau ya mau disebut apa enaknya tapi.,tau ya mau disebut apa enaknya tapi.
Hari Minggoean_001,0:01:29,0:01:47,"Yang jelas ini konten weekly mingguan yang akan membahas apa yang terjadi selama satu minggu cuma karena ada perasaan malas yang sangat Aku jadi menunda-nundanya, dan karena ada satu hal, aku menonton satu hal..","Yang jelas ini konten weekly mingguan yang akan membahas apa yang terjadi selama satu minggu cuma karena ada perasaan malas yang sangat Aku jadi menunda-nundanya, dan karena ada satu hal, aku menonton satu hal.."
Hari Minggoean_001,0:01:47,0:01:54,di Youtube. Aku jadi terpantik.,di Youtube. Aku jadi terpantik.
Hari Minggoean_001,0:01:54,0:01:56,Pokoknya hari ini harus mulai tik.,Pokoknya hari ini harus mulai tik.
Hari Minggoean_001,0:01:56,0:02:02,"Gimanapun caranya, gimanapun hasilnya.","Gimanapun caranya, gimanapun hasilnya."
Hari Minggoean_001,0:02:02,0:02:18,Dan alasannya itu sebenernya ada konsep yang menarik dibalik kebersemangatanku untuk men-take podcast malam-malam ini dan di luar anginnya lumayan dingin.,Dan alasannya itu sebenernya ada konsep yang menarik dibalik kebersemangatanku untuk men-take podcast malam-malam ini dan di luar anginnya lumayan dingin.
Hari Minggoean_001,0:02:18,0:02:21,Disini tapi ya anyway itu kita akan.,Disini tapi ya anyway itu kita akan.
Hari Minggoean_001,0:02:21,0:02:26,Bahas jauh lebih banyak di episode berikutnya.,Bahas jauh lebih banyak di episode berikutnya.
Hari Minggoean_001,0:02:26,0:02:30,Atau di minggu depan sekarang kita bakal.,Atau di minggu depan sekarang kita bakal.
Hari Minggoean_001,0:02:30,0:02:32,Ngebahas apa yang terjadi selama satu minggu.,Ngebahas apa yang terjadi selama satu minggu.
Hari Minggoean_001,0:02:32,0:02:35,Kemarin ini memang aneh ya karena ini.,Kemarin ini memang aneh ya karena ini.
Hari Minggoean_001,0:02:35,0:02:55,"Akan rilis dan aku take di tengah minggu yang mana untuk concept weekly weekly report, agak aneh sebenernya Tapi anyway Kebanyakan itu Yang muncul sebelum tanggal 25 Agustus.","Akan rilis dan aku take di tengah minggu yang mana untuk concept weekly weekly report, agak aneh sebenernya Tapi anyway Kebanyakan itu Yang muncul sebelum tanggal 25 Agustus."
Hari Minggoean_001,0:02:55,0:02:59,Seminggu sebelum tanggal 25 Hari Senin itu.,Seminggu sebelum tanggal 25 Hari Senin itu.
Hari Minggoean_001,0:02:59,0:03:00,"Hari apa tuh, nggak tau lah Tanggal.","Hari apa tuh, nggak tau lah Tanggal."
Hari Minggoean_001,0:03:00,0:03:04,"Berapa tuh, nggak tau lah Jadi, minggu.","Berapa tuh, nggak tau lah Jadi, minggu."
Hari Minggoean_001,0:03:04,0:03:15,"Kemarin Kita mulai aja ya Nggak ada bridging, ini juga nggak bakal aku edit Ngomong aja lah, nggak jelas ini emakku orangnya.","Kemarin Kita mulai aja ya Nggak ada bridging, ini juga nggak bakal aku edit Ngomong aja lah, nggak jelas ini emakku orangnya."
Hari Minggoean_001,0:03:15,0:03:18,"Oh iya, kita belum perkenalan.","Oh iya, kita belum perkenalan."
Hari Minggoean_001,0:03:18,0:03:20,"Iya, sebelum masuk kita perkenalan dulu.","Iya, sebelum masuk kita perkenalan dulu."
Hari Minggoean_001,0:03:20,0:03:26,"Oke, nama ku Ridho di sini. Yaudah, nama ku Ridho gitu aja.","Oke, nama ku Ridho di sini. Yaudah, nama ku Ridho gitu aja."
Hari Minggoean_001,0:03:26,0:04:03,Apa lagi yang mau dikenalin? Kayaknya untuk perkenalan yang macam-macam kayak latar belakang pendidikan dan pekerjaan segala macam kayaknya gak perlu-perlu banget untuk sekarang karena ya ini emang sistemnya emang racawan sekali jadi anyway kita mulai aja jadi minggu kemarin aku baru selesai banget ngebaca sebuah novel yang judulnya Semua Ikan di Langit karya Ziggy yang kalimat berikutnya aku gak bisa.,Apa lagi yang mau dikenalin? Kayaknya untuk perkenalan yang macam-macam kayak latar belakang pendidikan dan pekerjaan segala macam kayaknya gak perlu-perlu banget untuk sekarang karena ya ini emang sistemnya emang racawan sekali jadi anyway kita mulai aja jadi minggu kemarin aku baru selesai banget ngebaca sebuah novel yang judulnya Semua Ikan di Langit karya Ziggy yang kalimat berikutnya aku gak bisa.
Hari Minggoean_001,0:04:03,0:04:07,"Nyebutin ya karena ya ini, siniar ini.","Nyebutin ya karena ya ini, siniar ini."
Hari Minggoean_001,0:04:07,0:04:11,Aku tulis tanpa skrip yang jelas cuma.,Aku tulis tanpa skrip yang jelas cuma.
Hari Minggoean_001,0:04:11,0:04:14,Pake pointer doang dan sementara apa ya.,Pake pointer doang dan sementara apa ya.
Hari Minggoean_001,0:04:14,0:04:31,Kemampuan untuk menyampaikan diriku seperti yang bisa kalian dengar masih berantakan cukup berantakan tapi sebenernya ini lebih baik daripada diriku 5 tahun sebelumnya I'm kinda proud of that.,Kemampuan untuk menyampaikan diriku seperti yang bisa kalian dengar masih berantakan cukup berantakan tapi sebenernya ini lebih baik daripada diriku 5 tahun sebelumnya I'm kinda proud of that.
Hari Minggoean_001,0:04:31,0:04:37,Tapi ya itulah kita mengalir aja intinya.,Tapi ya itulah kita mengalir aja intinya.
Hari Minggoean_001,0:04:37,0:05:25,"Aku gak tau gak bisa mengucapkan dengan benar dan dengan ingat nama setelah zigi nya itu pokoknya ini Semua Ikan di Langit karya Ziggy yang mana itu kalau gak salah menang dari sayam barah bukan IKJ, IKJ itu Dewan Kesenian Jakarta, DIKJ tahun menang novel oke ini, sorry nih aku lagi ada di luar dan banyak motor berseliweran semoga kalian tidak terlalu terganggu ini motornya udah balik kita lanjutin lagi Jadi novelnya ini, Semua Ikan di Langit, itu saya ingatkan ya, itu menang D","Aku gak tau gak bisa mengucapkan dengan benar dan dengan ingat nama setelah zigi nya itu pokoknya ini Semua Ikan di Langit karya Ziggy yang mana itu kalau gak salah menang dari sayam barah bukan IKJ, IKJ itu Dewan Kesenian Jakarta, DIKJ tahun menang novel oke ini, sorry nih aku lagi ada di luar dan banyak motor berseliweran semoga kalian tidak terlalu terganggu ini motornya udah balik kita lanjutin lagi Jadi novelnya ini, Semua Ikan di Langit, itu saya ingatkan ya, itu menang D"
Hari Minggoean_001,0:05:25,0:05:30,"KJ tahun 2016, menang novel.","KJ tahun 2016, menang novel."
Hari Minggoean_001,0:05:30,0:05:32,Saya membayar novel di KJ 2016.,Saya membayar novel di KJ 2016.
Hari Minggoean_001,0:05:32,0:05:39,"Dan menurutku emang, aku sebenarnya nggak banyak baca in general.","Dan menurutku emang, aku sebenarnya nggak banyak baca in general."
Hari Minggoean_001,0:05:39,0:05:41,Lebih lagi aku baca novel.,Lebih lagi aku baca novel.
Hari Minggoean_001,0:05:41,0:05:43,Itu lebih dikit banget aku.,Itu lebih dikit banget aku.
Hari Minggoean_001,0:05:43,0:05:56,"Dan nggak banyak novel yang aku baca selama ini. Dan salah satu novel, yang bukan novel lebih tepatnya novelette mungkin, karena sedikit dan.","Dan nggak banyak novel yang aku baca selama ini. Dan salah satu novel, yang bukan novel lebih tepatnya novelette mungkin, karena sedikit dan."
Hari Minggoean_001,0:05:56,0:06:05,"Tipis, itu Le Petit Prince. Dan itu karya fenomenal banget di seluruh dunia.","Tipis, itu Le Petit Prince. Dan itu karya fenomenal banget di seluruh dunia."
Hari Minggoean_001,0:06:05,0:06:57,"Dan semua ikan di langit, somehow ada sesuatu yang mirip dengan Le Petit Prince. Mungkin bukan secara substansial ya, tapi lebih ke gaya berekspresinya. Itu menurutku imaginatif, liar, dan bisa dibilang mungkin absurd banget. Dan sesuatu ide, pemikirannya disampaikan secara absurd, dengan menggunakan bahasa-bahasa figuratif, dengan menggunakan metafora-metafora, Aku suka disitu, di Le Petit Prince kita dijejeli, ketahuan banget ya Saya lama di Jawa teman-teman Dan emang orang Jawa sebenernya Tapi masalah Jawa-Jawa ini kita.","Dan semua ikan di langit, somehow ada sesuatu yang mirip dengan Le Petit Prince. Mungkin bukan secara substansial ya, tapi lebih ke gaya berekspresinya. Itu menurutku imaginatif, liar, dan bisa dibilang mungkin absurd banget. Dan sesuatu ide, pemikirannya disampaikan secara absurd, dengan menggunakan bahasa-bahasa figuratif, dengan menggunakan metafora-metafora, Aku suka disitu, di Le Petit Prince kita dijejeli, ketahuan banget ya Saya lama di Jawa teman-teman Dan emang orang Jawa sebenernya Tapi masalah Jawa-Jawa ini kita."
Hari Minggoean_001,0:06:57,0:07:06,bahas nantilah. Le Petit Prince ini Sesuatu.,bahas nantilah. Le Petit Prince ini Sesuatu.
Hari Minggoean_001,0:07:06,0:07:16,Yang absurd dari sana adalah ada sebuah seorang pangeran mahluk yang tinggal di luar,Yang absurd dari sana adalah ada sebuah seorang pangeran mahluk yang tinggal di luar
