Audio file,Start,End,Audio file,Start,End,Text Text Clean Verbatim
Hari Minggoean_002,0:00:00,0:00:04,Nggak kerasa kita udah ketemu lagi di penghujung akhir pekan.,,,,
Hari Minggoean_002,0:00:04,0:00:08,Ini artinya umur kita udah lebih tua 7 hari lagi.,,,,
Hari Minggoean_002,0:00:08,0:00:13,"Biar waktu yang singkat ini terasa lebih bermakna, mari kita menceritakannya.",,,,
Hari Minggoean_002,0:00:13,0:00:14,Aku mulai duluan.,,,,
Hari Minggoean_002,0:00:14,0:00:19,Selamat datang di siniar Hari Minggoean.,,,,
Hari Minggoean_002,0:00:19,0:00:25,"Di episode sebelumnya, aku bilang aku masih belum tau siniar ini mau disebut apa.",,,,
Hari Minggoean_002,0:00:25,0:00:31,"Dan setelah bengong berjam-jam, akhirnya aku memutuskan menyebut siniar ini dengan Hari Minggoean.",,,,
Hari Minggoean_002,0:00:31,0:00:36,"Sebenernya, aku mau pake nama ku sendiri di siniar ini.",,,,
Hari Minggoean_002,0:00:36,0:00:41,"Tapi kalo pake Ridho, aneh buat digabungin sama kata Mingguan.",,,,
Hari Minggoean_002,0:00:41,0:00:43,Jadi aku mau pake nama tengah.,,,,
Hari Minggoean_002,0:00:43,0:00:44,Hasri Nur.,,,,
Hari Minggoean_002,0:00:44,0:00:45,Hasri.,,,,
Hari Minggoean_002,0:00:45,0:00:50,"Jadi, nama awalnya itu Hasri Mingguan.",,,,
Hari Minggoean_002,0:00:50,0:00:57,"Tapi aku tahu, kata hasri itu agak susah buat diucapin, apalagi kalau buat diingat ya kan?",,,,
Hari Minggoean_002,0:00:57,0:01:00,"Maka dari itu, aku coba muter otak.",,,,
Hari Minggoean_002,0:01:00,0:01:06,Gimana caranya nama siniar ini lebih gampang masuk di kepala.,,,,
Hari Minggoean_002,0:01:06,0:01:12,"Akhirnya aku mutusin untuk pakai pelesetannya, kata yang lebih gampang untuk diucapin.",,,,
Hari Minggoean_002,0:01:12,0:01:16,"Ketemulah, kata hari itu.",,,,
Hari Minggoean_002,0:01:16,0:01:25,"Jadi namanya ini sesuai dengan konsep awal, perlengkung apa yang aku alami yang aku pikirkan selama satu minggu.",,,,
Hari Minggoean_002,0:01:25,0:01:31,"Gak perlu panjang-panjang lah ya, segitu aja soal intermezzo tentang penamaan siniar ini.",,,,
Hari Minggoean_002,0:01:31,0:01:38,Sekarang kita mulai ngebahas apa yang terjadi selama satu pekan kemarin.,,,,
Hari Minggoean_002,0:01:38,0:01:47,"Satu hal yang membuat aku seneng banget minggu ini, itu series Only Murder in the Buildings.",,,,
Hari Minggoean_002,0:01:47,0:01:51,Season keempat mulai rilis episode pertamanya.,,,,
Hari Minggoean_002,0:01:51,0:02:00,"Walaupun karena selalu dan emang eksklusif kayaknya dari platform hulu, jadinya rilisnya pelan-pelan.",,,,
Hari Minggoean_002,0:02:00,0:02:01,Satu minggu sekali.,,,,
Hari Minggoean_002,0:02:01,0:02:05,Nggak kayak Netflix yang keluarnya itu mesti atau sering itu sebandal.,,,,
Hari Minggoean_002,0:02:05,0:02:08,Langsung komplit satu season lengkap.,,,,
Hari Minggoean_002,0:02:08,0:02:41,"tapi ya gak apa-apa sih anyway aku malah lebih suka kayak gini lebih suka disuruh nunggu seminggu untuk satu episode jadi waktu rilis senonton aku bisa ngerasain lebih excited gitu karena nunggu-nunggunya tuh udah lama dan biar nontonnya gak nge-binge juga soalnya kalo misalnya nemu series yang bagus itu sering kalap nontonnya gak bisa berhenti-berhenti Nah, buat yang gak tau soal series ini, series ini tuh ngegabungin 2 genre yang gak umum.",,,,
Hari Minggoean_002,0:02:41,0:02:46,Yang masing-masing dari generenya itu sebenernya genre favoritku juga.,,,,
Hari Minggoean_002,0:02:46,0:02:51,"Genre yang aku maksud, itu genre misteri dan komedi.",,,,
Hari Minggoean_002,0:02:51,0:02:56,"Ya, bahasa gampangnya itu genre detective kocak.",,,,
Hari Minggoean_002,0:02:56,0:03:00,"Ya, di series ini sebenarnya nggak banyak artis yang terkenal.",,,,
Hari Minggoean_002,0:03:00,0:03:05,"At least, orang Indo tuh nggak banyak kenal sama nama-nama ini.",,,,
Hari Minggoean_002,0:03:05,0:03:11,"Kalau ada satu nama yang terkenal banget, yang sampai Indo, itu mungkin ya Selena Gomez.",,,,
Hari Minggoean_002,0:03:11,0:03:13,Dan itu doang.,,,,
Hari Minggoean_002,0:03:13,0:04:03,"dan dia yang jadi salah satu pemeran utama di series ini Nah, nama-nama yang beken, yang terkenal itu baru masuk di season ketiga waktu series ini tuh udah lebih banyak fandomnya, udah lebih banyak penggemarnya nama-nama yang beken yang aku maksud tadi itu Paul Rudd yang menjadi Ant-Man kemudian juga masuk juga aktor selegendaris Meryl Streep yang kalau kalian tahu dia main di Devil's World Prada juga di film Mamma Mia menurutku cast disini gak penting-penting amat sih karena daya tarik utamanya di series ini itu ya konsep ceritanya sama karakter-karakter yang berperan di dalamnya pertama Genre-nya.",,,,
Hari Minggoean_002,0:04:03,0:04:05,"Pertama, genre-nya misteri komedi.",,,,
Hari Minggoean_002,0:04:05,0:04:06,Itu aja udah menarik.,,,,
Hari Minggoean_002,0:04:06,0:04:09,Dan menarik dan unik.,,,,
Hari Minggoean_002,0:04:09,0:04:16,Gak banyak juga yang pake genre dua yang digabungin.,,,,
Hari Minggoean_002,0:04:16,0:04:23,"Dan kalo misalnya ada, emang menurutku ini genrenya emang agak susah dalam taruh ketik buat dipake.",,,,
Hari Minggoean_002,0:04:23,0:04:27,Jadi ini adalah salah satu yang berhasil.,,,,
Hari Minggoean_002,0:04:27,0:04:35,"Dan yang kedua, format atau formasi tukuh utamanya ini menurutku menarik banget.",,,,
Hari Minggoean_002,0:04:35,0:04:38,"Bayangin, ada dua kakek-kakek.",,,,
Hari Minggoean_002,0:04:38,0:04:40,Rambutnya udah pada berubah semua.,,,,
Hari Minggoean_002,0:04:40,0:04:51,Mereka mendetektif-detektifkan buat ngelesain sebuah kasus kriminal yang ada di apartemen mereka bareng perempuan yang umurnya 20-an.,,,,
Hari Minggoean_002,0:04:51,0:04:53,Kebayang gak sih?,,,,
